song_id,title,artist,version,song_type
770,Highway Chaser,Cosmograph,phoenix,arcade
766,Horang Pungryuga,Sangnoksu feat. HANANA,phoenix,arcade
665,Houseplan,Houseplan,XX,arcade
819,Human Extinction (PIU Edit.),MonstDeath,phoenix,arcade
201,Hungarian Dance V,Banya Production,FiestaEX,arcade
291,Hyacinth,YAHPP,Prime,arcade
783,Hymn of Golden Glory,Essbee,phoenix,arcade
821,Hymn of Golden Glory - SHORT CUT -,Essbee,phoenix,shortcut
475,Hyperion,M2U,Prime2,arcade
518,Hyperion,M2U,Prime2,shortcut
246,Hypnosis(SynthWulf Mix),BanYa & SynthWulf,Fiesta2,arcade
553,I Want U,MAX,XX,arcade
658,I Want U - SHORT CUT -,MAX,XX,shortcut
510,INFINITY,Lunatic Sounds,Prime2,arcade
787,INVASION,D_AAN,phoenix,arcade
585,Ice of Death,Fiverwater,XX,arcade
358,Idealized Romance,void,Prime,arcade
244,Ignis Fatuus(DM Ashura Mix),BanYa & DM Ashura,Fiesta2,arcade
266,Ignis Fatuus(DM Ashura Mix),DM Ashura,Fiesta2,shortcut
798,Imaginarized City,Reku Mochizuki,phoenix,arcade
573,Imagination,SHK,XX,arcade
760,Imperium,sakuzyo,phoenix,arcade
342,Imprinting,Sakuzyo,Prime,arcade
638,Indestructible,Matduke,XX,arcade
262,Infinity RMX,SynthWulf & MAX,Fiesta2,remix
191,Interference,Doin,FiestaEX,arcade
209,Interference,Doin,FiestaEX,fullsong
652,Iolite Sky,Doin,XX,arcade
68,J Bong,BanYa,Exceed2,arcade
627,JANUS,MAX,XX,arcade
108,Jam O Beat,Banya Production,NX2,arcade
659,Jogging,LUCY,XX,arcade
220,Jonathan's Dream,MAX&Seorryang (SID-SOUND),FiestaEX,arcade
547,Jump,BanYa,Zero,arcade
709,Jupin,Sobrem,phoenix,arcade
803,Jupin - SHORT CUT -,Sobrem,phoenix,shortcut
359,Just Hold on (To All Fighters),void,Prime,arcade
122,K.O.A : Alice In Wonderworld,Banya Production,NXA,arcade
182,K.O.A : Alice In Wonderworld,Banya Production,Fiesta,shortcut
711,KUGUTSU,onoken,phoenix,arcade
330,Karyawisata,Versuvia x REDSHIFT,Prime,arcade
469,Kasou Shinja,MAX,Prime2,arcade
519,Kasou Shinja,MAX,Prime2,shortcut
271,Katkoi,M2U,Prime,arcade
505,Keep On!,AmamoriP,Prime2,arcade
503,Kill Them!,Archefluxx,Prime2,arcade
561,Kimchi Fingers,Garlic Squad,XX,arcade
550,Kitty Cat,Coconut,Fiesta2,arcade
683,Kokugen Kairou Labyrinth,A:llha (ANA + 2riA),XX,arcade
653,La Cinquantatine,Pory,XX,arcade
727,Lacrimosa,Fiverwater,phoenix,arcade
225,Ladybug,Coconut,Fiesta2,arcade
631,Lala,Yassi Pressman,XX,arcade
385,Last Rebirth,SHK,Prime2,arcade
272,Latino Virus,Warak,Prime,arcade
406,Le Grand Bleu,KIEN,Prime2,arcade
557,Le Grand Rouge,KIEN,XX,arcade
754,Le Nozze di Figaro ~Celebrazione Remix~,Sr. Lan Belmont,phoenix,arcade
286,Leakage Voltage,Doin,Prime,arcade
496,Leather,Doin,Prime2,remix
628,Lepton Strike,Nato,XX,arcade
669,Life is PIANO,Junk,XX,arcade
364,Like Me,SHK,Prime,arcade
749,Little Munchkin,Castellia,phoenix,arcade
257,Login,SHK,Fiesta2,arcade
714,Lohxia,The Musical Ghost,phoenix,arcade
576,Loki,Lotze,XX,arcade
245,Love Is A Danger Zone(Cranky Mix),BanYa & Cranky,Fiesta2,arcade
